latitude_deg,longitude_deg,altitude_m,timestamp,observed_total_nt,observed_declination_deg,observed_inclination_deg,is_injected_anomaly,track_id,dataset_split,source_file,baseline_total_nt,baseline_declination_deg,baseline_inclination_deg,residual_total_nt,residual_declination_deg,residual_inclination_deg,delta_residual_total_nt,rolling_residual_total_nt,spatial_anomaly_score,temporal_anomaly_score,final_anomaly_score,is_anomaly,baseline_residual_score,baseline_is_anomaly
44.1,-81.9,250.0,1970-01-01 00:29:34.526400,52175.0,-7.55,57.8,False,anomalous_eval_run_6,anomalous_eval,anomalous_eval_run_6.jsonl,52736.29452816862,-8.531544288167543,45.23433177850043,-561.2945281686189,0.9815442881675436,12.565668221499564,0.0,-561.2945281686189,0.10448478,0.135065,0.12130390405654908,False,0.4318395813958427,False
44.1111888112,-81.8832167832,250.0,1970-01-01 00:29:34.526700,52218.8818296299,-7.5501930269,57.8329299168,False,anomalous_eval_run_6,anomalous_eval,anomalous_eval_run_6.jsonl,52737.76430965588,-8.52957363683337,45.2434463111054,-518.8824800259827,0.9793806099333695,12.589483605694596,42.412048142636195,-540.0885040973008,0.10448478,0.135065,0.12130390405654908,False,0.39920929516124354,False
44.1223776224,-81.8664335664,250.0,1970-01-01 00:29:34.527000,52262.4250078545,-7.5507717349,57.8657168443,False,anomalous_eval_run_6,anomalous_eval,anomalous_eval_run_6.jsonl,52739.233864254194,-8.527602063276891,45.25255911835603,-476.80885639969347,0.9768303283768915,12.613157725943971,42.07362362628919,-518.9952881980984,0.10448478,0.135065,0.12130390405654908,False,0.366839380432403,False
44.1335664336,-81.8496503497,250.0,1970-01-01 00:29:34.527300,52305.2934967598,-7.5517350071,57.8982184141,False,anomalous_eval_run_6,anomalous_eval,anomalous_eval_run_6.jsonl,52740.703191888846,-8.525629568048924,45.26167019990478,-435.4096951290485,0.9738945609489242,12.636548214195223,41.39916127064498,-477.0336771849082,0.10448478,0.135065,0.12130390405654908,False,0.334988372492622,False
44.1447552448,-81.8328671329,250.0,1970-01-01 00:29:34.527600,52347.1564652447,-7.553080984,57.9302934968,False,anomalous_eval_run_6,anomalous_eval,anomalous_eval_run_6.jsonl,52742.17229249138,-8.523656151694103,45.270779555404225,-395.0158272466797,0.9705751676941032,12.659513941395772,40.393867882368795,-435.74479292514053,0.10448478,0.135065,0.12130390405654908,False,0.30391080069765725,False
44.1559440559,-81.8160839161,250.0,1970-01-01 00:29:34.527900,52387.6908421605,-7.5548070675,57.9618028149,False,anomalous_eval_run_6,anomalous_eval,anomalous_eval_run_6.jsonl,52743.641165977075,-8.521681814778105,45.279887184425554,-355.950323816578,0.9668747472781059,12.681915630474442,39.06550343010167,-395.4586153974354,0.10448478,0.135065,0.12130390405654908,False,0.27385522416582075,False
44.1671328671,-81.7993006993,250.0,1970-01-01 00:29:34.528200,52426.5838095638,-7.5569099258,57.9926095478,False,anomalous_eval_run_6,anomalous_eval,anomalous_eval_run_6.jsonl,52745.10981229338,-8.519706557821362,45.28899308678428,-318.5260027295808,0.9627966320213615,12.70361646101572,37.424321086997224,-356.49738459761284,0.10432853,0.1448132,0.12659509479999542,False,0.24506231359716926,False
44.1783216783,-81.7825174825,250.0,1970-01-01 00:29:34.528500,52463.5352168413,-7.5593854999,58.0225799255,False,anomalous_eval_run_6,anomalous_eval,anomalous_eval_run_6.jsonl,52746.5782313577,-8.51773038138783,45.29809726205173,-283.0430145163991,0.9583448814878297,12.724482663448264,35.48298821318167,-319.17311368751933,0.10432853,0.1448132,0.12659509479999542,False,0.21776299388591275,False
44.1895104895,-81.7657342657,250.0,1970-01-01 00:29:34.528800,52498.2598970776,-7.5622290112,58.0515838096,False,anomalous_eval_run_6,anomalous_eval,anomalous_eval_run_6.jsonl,52748.04642309742,-8.515753286027243,45.30719970988071,-249.78652601981594,0.9535242748272426,12.744384099719284,33.25648849658319,-283.7851810885986,0.10432853,0.1448132,0.12659509479999542,False,0.19217666202210773,False
44.2006993007,-81.748951049,250.0,1970-01-01 00:29:34.529100,52530.4898677876,-7.565434971,58.0794952585,False,anomalous_eval_run_6,anomalous_eval,anomalous_eval_run_6.jsonl,52749.514387437914,-8.513775272291692,45.31630042992412,-219.0245196503165,0.948340301291692,12.763194828575884,30.76200636949943,-250.61802006217718,0.10432853,0.1448132,0.12659509479999542,False,0.16850949391903627,False
44.2118881119,-81.7321678322,250.0,1970-01-01 00:29:34.529400,52559.9763990306,-7.5689971909,58.1061930744,False,anomalous_eval_run_6,anomalous_eval,anomalous_eval_run_6.jsonl,52750.98212431076,-8.511796340727019,45.32539942183489,-191.00572528015618,0.9427991498270183,12.780793652565109,28.01879437016032,-219.9389236500962,0.10432853,0.1448132,0.12659509479999542,False,0.14695285328777152,False
44.2230769231,-81.7153846154,250.0,1970-01-01 00:29:34.529700,52586.4919329468,-7.5729087949,58.1315613291,False,anomalous_eval_run_6,anomalous_eval,anomalous_eval_run_6.jsonl,52752.44963364133,-8.509816491885731,45.33449668526603,-165.95770069452556,0.9369076969857311,12.79706464383397,25.04802458563063,-191.99598187499942,0.10432853,0.1448132,0.12659509479999542,False,0.127681814806167,False
44.2342657343,-81.6986013986,250.0,1970-01-01 00:29:34.530000,52609.8318399002,-7.5771622325,58.1554898678,False,anomalous_eval_run_6,anomalous_eval,anomalous_eval_run_6.jsonl,52753.91691535708,-8.507835726318389,45.34359221987063,-144.08507545687462,0.9306734938183885,12.81189764792937,21.872625237650936,-167.01616714385213,0.105332345,0.16240612,0.13672291934490205,False,0.11085381301275238,False
44.2454545455,-81.6818181818,250.0,1970-01-01 00:29:34.530300,52629.8159976773,-7.5817492934,58.1778747872,False,anomalous_eval_run_6,anomalous_eval,anomalous_eval_run_6.jsonl,52755.383969385475,-8.505854044575763,45.35268602530181,-125.56797170817299,0.9241047511757632,12.82518876189819,18.51710374870163,-145.2035826198577,0.105332345,0.16240612,0.13672291934490205,False,0.09660742732716007,False
44.2566433566,-81.665034965,250.0,1970-01-01 00:29:34.530600,52646.2901815527,-7.5866611235,58.1986188868,False,anomalous_eval_run_6,anomalous_eval,anomalous_eval_run_6.jsonl,52756.850795643986,-8.503871447223295,45.361778101131534,-110.56061409128597,0.9172103237232951,12.836840785668464,15.00735761688702,-126.73788708544453,0.105332345,0.16240612,0.13672291934490205,False,0.08506131257653256,False
